";Date;Holiday;;;;"
"387;01/01/81;New Year‰Ûªs Day;;;;"

"388;16/02/81;Washington‰Ûªs Birthday;;;;"

"389;25/05/81;Memorial Day;;;;"

"390;04/07/81;Independence Day;;;;"

"391;07/09/81;Labor Day;;;;"

"392;12/10/81;Columbus Day;;;;"

"393;11/11/81;Veterans Day;;;;"

"394;26/11/81;Thanksgiving Day;;;;"

"395;25/12/81;Christmas Day;;;;"

"396;01/01/80;New Year‰Ûªs Day;;;;"

"397;18/02/80;Washington‰Ûªs Birthday;;;;"

"398;26/05/80;Memorial Day;;;;"

"399;04/07/80;Independence Day;;;;"

"400;01/09/80;Labor Day;;;;"

"401;13/10/80;Columbus Day;;;;"

"402;11/11/80;Veterans Day;;;;"

"403;27/11/80;Thanksgiving Day;;;;"

"404;25/12/80;Christmas Day;;;;"

"405;01/01/79;New Year‰Ûªs Day;;;;"

"406;19/02/79;Washington‰Ûªs Birthday;;;;"

"407;28/05/79;Memorial Day;;;;"

"408;04/07/79;Independence Day;;;;"

"409;03/09/79;Labor Day;;;;"

"410;08/10/79;Columbus Day;;;;"

"411;11/11/79;Veterans Day;;;;"

"412;22/11/79;Thanksgiving Day;;;;"

"413;25/12/79;Christmas Day;;;;"

"414;01/01/78;New Year‰Ûªs Day;;;;"

"415;20/02/78;Washington‰Ûªs Birthday;;;;"

"416;29/05/78;Memorial Day;;;;"

"417;04/07/78;Independence Day;;;;"

"418;04/09/78;Labor Day;;;;"

"419;09/10/78;Columbus Day;;;;"

"420;11/11/78;Veterans Day;;;;"

"421;23/11/78;Thanksgiving Day;;;;"

"422;25/12/78;Christmas Day;;;;"

"423;01/01/77;New Year‰Ûªs Day;;;;"

"424;21/02/77;Washington‰Ûªs Birthday;;;;"

"425;30/05/77;Memorial Day;;;;"

"426;04/07/77;Independence Day;;;;"

"427;05/09/77;Labor Day;;;;"

"428;10/10/77;Columbus Day;;;;"

"429;11/11/77;Veterans Day;;;;"

"430;24/11/77;Thanksgiving Day;;;;"

"431;25/12/77;Christmas Day;;;;"

"432;01/01/76;New Year‰Ûªs Day;;;;"

"433;16/02/76;Washington‰Ûªs Birthday;;;;"

"434;31/05/76;Memorial Day;;;;"

"435;04/07/76;Independence Day;;;;"

"436;06/09/76;Labor Day;;;;"

"437;11/10/76;Columbus Day;;;;"

"438;11/11/76;Veterans Day;;;;"

"439;25/11/76;Thanksgiving Day;;;;"

"440;25/12/76;Christmas Day;;;;"

"441;01/01/75;New Year‰Ûªs Day;;;;"

"442;17/02/75;Washington‰Ûªs Birthday;;;;"

"443;26/05/75;Memorial Day;;;;"

"444;04/07/75;Independence Day;;;;"

"445;01/09/75;Labor Day;;;;"

"446;13/10/75;Columbus Day;;;;"

"447;11/11/75;Veterans Day;;;;"

"448;27/11/75;Thanksgiving Day;;;;"

"449;25/12/75;Christmas Day;;;;"

"450;01/01/74;New Year‰Ûªs Day;;;;"

"451;18/02/74;Washington‰Ûªs Birthday;;;;"

"452;27/05/74;Memorial Day;;;;"

"453;04/07/74;Independence Day;;;;"

"454;02/09/74;Labor Day;;;;"

"455;14/10/74;Columbus Day;;;;"

"456;11/11/74;Veterans Day;;;;"

"457;28/11/74;Thanksgiving Day;;;;"

"458;25/12/74;Christmas Day;;;;"

"459;01/01/73;New Year‰Ûªs Day;;;;"

"460;19/02/73;Washington‰Ûªs Birthday;;;;"

"461;28/05/73;Memorial Day;;;;"

"462;04/07/73;Independence Day;;;;"

"463;03/09/73;Labor Day;;;;"

"464;08/10/73;Columbus Day;;;;"

"465;11/11/73;Veterans Day;;;;"

"466;22/11/73;Thanksgiving Day;;;;"

"467;25/12/73;Christmas Day;;;;"

"468;01/01/72;New Year‰Ûªs Day;;;;"

"469;21/02/72;Washington‰Ûªs Birthday;;;;"

"470;29/05/72;Memorial Day;;;;"

"471;04/07/72;Independence Day;;;;"

"472;04/09/72;Labor Day;;;;"

"473;09/10/72;Columbus Day;;;;"

"474;11/11/72;Veterans Day;;;;"

"475;23/11/72;Thanksgiving Day;;;;"

"476;25/12/72;Christmas Day;;;;"

"477;01/01/66;New Year‰Ûªs Day;;;;"

"478;22/02/66;Washington‰Ûªs Birthday;;;;"

"479;04/07/66;Independence Day;;;;"

"480;05/09/66;Labor Day;;;;"

"481;12/10/66;Columbus Day;;;;"

"482;11/11/66;Veterans Day;;;;"

"483;24/11/66;Thanksgiving Day;;;;"

"484;25/12/66;Christmas Day;;;;"
